pop,ind,lat,long,dbh,age,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WM,S22T4,575675,3149210,48.5,129,136/136,506/508,270/270,110/110,298/302,143/143,208/210,418/426,333/335,165/165,268/268,328/336,245/267
WM,S22T7,575682,3149214,41.4,112,136/136,506/506,270/270,98/110,298/302,143/143,198/212,414/414,335/335,165/165,268/268,336/346,267/267
WM,S23T1,575720,3149234,62.8,164,136/136,506/506,270/270,110/110,298/302,143/143,198/208,428/428,333/335,165/165,256/256,328/336,267/267
WM,S23T2,575723,3149220,56.4,149,136/136,506/506,270/270,110/112,298/298,143/143,198/208,426/428,335/351,149/165,256/256,328/328,267/267
WM,S23T9,575761,3149213,17.8,50,136/136,508/510,270/270,110/110,302/302,143/143,208/210,418/422,335/335,165/165,268/268,328/328,245/251
WM,S23T11,575784,3149216,26.8,76,136/136,506/506,270/270,110/112,298/298,143/143,198/208,414/428,333/335,165/165,256/256,328/328,245/267
WM,S23T12,575787,3149214,20.7,57,136/136,506/506,270/270,110/110,298/298,143/143,208/208,414/428,335/335,165/165,256/256,328/334,245/245
WM,S23T14,575822,3149208,85.8,252,136/136,506/508,270/270,110/110,302/302,143/143,198/208,418/428,333/351,149/165,248/262,328/336,249/267
WM,S23T18,575848,3149211,76,196,136/136,506/510,270/270,110/122,298/302,143/143,210/212,426/428,335/351,165/165,268/268,328/346,255/267
WM,S23T20,575870,3149203,76.9,199,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,335/335,165/165,266/266,328/346,267/267
WM,S24T1,575864,3149226,72.4,227,136/136,506/506,270/270,110/110,298/298,143/143,196/208,426/426,335/335,165/165,256/256,336/346,267/267
WM,S24T2,575868,3149226,13.4,40,136/136,506/510,270/270,110/110,298/298,143/143,208/210,418/418,335/335,165/165,268/268,336/336,245/245
WM,S24T4,575888,3149262,35.2,89,136/136,506/506,270/270,110/110,298/302,143/143,208/210,418/418,335/335,165/165,268/268,336/336,245/267
WM,S24T6,575897,3149264,24.3,57,136/136,506/508,270/270,110/110,298/302,143/143,200/208,418/428,335/345,165/165,256/264,328/336,245/267
WM,S24T8,575909,3149270,34.5,58,136/136,506/506,270/270,110/110,302/302,143/143,208/208,426/428,345/345,165/165,268/268,336/346,245/267
WM,S24T9,575908,3149274,18.5,46,136/136,506/506,270/270,110/110,298/298,143/143,208/210,428/428,335/345,163/165,268/268,328/336,245/267
WM,S24T10,575905,3149277,20.7,57,136/136,506/506,270/270,110/110,298/302,143/143,208/210,418/428,335/345,165/165,268/268,336/346,267/267
WM,S24T11,575916,3149296,18.3,48,136/136,506/506,270/270,110/112,298/302,143/143,208/210,426/428,335/335,165/165,256/264,328/336,235/245
WM,S24T12,575914,3149296,21,62,136/136,506/506,270/270,110/110,298/302,143/143,208/210,426/428,333/335,165/165,258/258,336/336,245/267
WM,S24T14,575916,3149299,21.6,49,136/136,506/506,270/270,110/110,302/302,143/143,196/210,428/428,345/347,163/165,268/268,328/334,251/251
WA,S25T1,560888,3174508,35.6,97,136/136,506/508,268/270,98/110,298/302,143/143,196/208,414/428,335/345,165/165,248/256,334/334,249/249
WA,S25T2,560888,3174499,19.4,65,136/136,508/508,270/270,98/110,302/302,143/143,196/210,418/424,335/335,165/165,250/266,334/334,249/251
WA,S25T3,560932,3174467,14.7,42,136/136,506/508,270/270,110/112,302/302,143/143,212/212,426/428,335/345,141/165,266/266,328/340,255/255
WA,S25T4,560910,3174405,20.6,55,136/136,506/506,270/270,110/112,302/302,143/143,196/210,426/428,345/347,161/165,256/256,334/340,255/255
WA,S25T5,560998,3174403,17.1,63,136/136,506/506,286/286,110/122,302/302,143/143,208/210,420/428,347/347,163/165,268/268,334/346,235/249
WA,S25T6,561023,3174368,14.1,56,136/136,506/506,270/270,110/110,302/302,143/143,196/210,428/428,335/347,161/165,256/256,328/334,249/255
WA,S25T7,561051,3174370,23.4,84,136/136,506/508,NA,112/122,302/302,143/143,196/208,428/428,335/345,149/165,266/266,336/342,235/255
WA,S25T8,561068,3174352,15,44,136/136,506/510,270/270,110/122,298/302,143/143,196/208,414/428,333/335,149/149,264/264,336/340,235/245
WA,S25T9,561091,3174313,22,96,136/136,502/508,270/270,110/122,298/302,143/143,196/208,428/428,345/345,165/165,268/268,328/336,255/255
WA,S25T10,561109,3174309,16.7,46,136/136,506/506,270/270,110/110,298/302,143/143,196/208,420/428,345/345,165/165,256/268,328/334,249/255
WA,S25T11,561088,3174278,12,37,136/136,506/506,270/270,110/122,302/302,143/143,208/210,418/428,333/335,165/165,268/268,336/336,245/245
WA,S25T12,561081,3174290,21.8,70,136/136,506/506,270/270,110/110,298/304,143/143,196/208,420/428,345/345,165/165,268/268,328/334,249/255
WA,S25T13,561078,3174290,17.4,40,136/136,506/506,270/270,110/122,298/302,143/143,196/208,428/428,335/347,165/165,268/268,334/336,251/255
WA,S25T14,561079,3174258,17.6,56,136/136,506/506,270/270,110/110,298/302,143/143,196/210,428/428,335/345,163/165,268/268,328/334,251/251
WA,S25T16,561108,3174239,17.4,47,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,345/345,163/165,266/266,336/340,249/255
WA,S26T1,560921,3174309,16.6,45,136/136,506/506,270/270,122/122,302/302,143/143,196/208,428/428,345/347,165/165,256/266,328/336,251/255
WA,S26T3,560839,3174417,21.4,45,136/136,508/508,270/270,98/110,298/302,143/143,198/200,414/428,345/347,161/165,266/268,334/336,249/251
WA,S26T4,560843,3174448,19.2,48,136/136,508/508,NA,98/110,298/302,143/143,196/210,424/428,335/345,165/165,266/266,334/334,249/251
WA,S26T5,560824,3174385,23.1,52,136/136,506/508,270/270,110/122,302/302,143/143,196/196,420/428,345/345,165/165,256/266,340/340,235/251
WA,S26T6,560818,3174381,15.9,46,136/136,508/508,270/270,110/110,302/302,143/143,196/208,426/428,345/345,165/165,256/256,336/340,235/249
WA,S26T8,560739,3174298,56.1,176,136/136,506/506,270/270,110/122,302/302,143/143,208/212,424/428,335/335,165/165,256/256,334/340,249/251
WA,S26T9,560734,3174284,67.9,189,136/136,506/508,270/270,110/110,302/302,143/143,198/210,428/428,345/347,163/165,256/256,328/336,251/255
WA,S26T10,560722,3174256,27.2,63,136/136,506/508,270/270,110/122,298/302,143/143,196/210,428/428,345/345,165/165,256/256,328/336,255/255
WA,S26T12,560836,3174098,20.7,59,136/136,508/508,270/270,110/110,302/302,143/143,196/208,426/428,345/345,165/165,256/256,336/340,235/249
WA,S26T14,560893,3174074,17.2,32,136/136,506/508,270/270,110/122,302/302,143/143,196/196,426/428,345/345,165/165,256/256,328/340,249/255
WA,S27T1,560725,3174486,41.3,111,136/136,506/508,270/270,98/110,302/302,143/143,196/210,420/426,335/335,161/165,256/256,336/340,235/255
WA,S27T2,560707,3174526,14.7,64,136/136,506/506,NA,122/122,302/302,143/143,196/208,426/428,335/345,165/165,256/256,328/334,251/255
WA,S27T3,560703,3174533,25.9,74,136/136,506/506,286/286,122/122,302/302,143/143,196/196,428/428,345/345,165/165,266/266,328/334,251/251
WA,S27T4,560785,3174715,34.1,85,136/136,506/508,270/270,112/112,302/302,143/143,208/210,420/424,333/347,149/161,256/256,328/342,235/255
WF,S28T1,562869,3175790,22.1,57,136/136,506/508,270/270,112/118,302/302,143/143,198/210,418/424,335/347,161/165,268/268,328/336,235/255
WF,S28T2,562864,3175805,19.4,80,136/136,506/506,270/270,112/118,302/302,143/143,198/208,424/428,335/347,165/165,268/268,334/336,235/251
WF,S28T3_N,562876,3175796,1.4,4,136/136,506/508,270/270,110/110,302/302,143/143,198/210,414/424,335/335,149/161,256/256,336/340,235/251
WF,S28T4,562866,3175803,21.6,59,136/136,506/506,270/270,110/112,302/302,143/143,198/210,424/424,335/335,161/165,268/268,328/336,255/255
WF,S28T5,562861,3175807,38.3,50,136/136,506/510,270/270,110/110,302/302,143/143,198/208,422/428,335/335,149/161,268/268,334/336,249/255
WF,S28T6,562860,3175809,52.6,119,136/136,506/510,276/276,110/118,302/302,143/143,208/208,424/426,345/345,149/165,258/258,328/336,235/251
